id,value
id_0,6.0429581524807405
id_1,18.005865812994365
id_2,22.894845480984554
id_3,8.637175206234948
id_4,27.280115202762456
id_5,21.57145178861603
id_6,23.013073080868356
id_7,30.988802616941893
id_8,16.172518673492217
id_9,60.614905986745654
id_10,14.411591531999239
id_11,11.482539677882112
id_12,65.32365243670516
id_13,51.46935622178871
id_14,21.00639227308062
id_15,11.424095170385804
id_16,31.860031997527038
id_17,68.16691903937642
id_18,-1.3160621189749486
id_19,17.657270540391014
id_20,40.83484639501374
id_21,72.1054469356719
id_22,9.24407495171016
id_23,18.177066165833725
id_24,15.162290907872537
id_25,37.25293014831341
id_26,15.854831632357019
id_27,73.32642317379586
id_28,8.997936378358485
id_29,55.30718054300006
id_30,24.003101010540984
id_31,7.264391006543558
id_32,2.795130756394019
id_33,21.588674399398055
id_34,29.222360000294692
id_35,37.95692708569621
id_36,44.04446277692861
id_37,30.13960296536241
id_38,42.13665501149585
id_39,33.97813510958952
id_40,7.378022146234739
id_41,40.78135505972427
id_42,31.71213003099616
id_43,49.69910848586303
id_44,16.647019741206186
id_45,34.909039146787855
id_46,25.50040298319422
id_47,10.230907456962221
id_48,23.725576316460536
id_49,31.219288056506908
id_50,19.91355403844971
id_51,9.319979504757047
id_52,20.491535919542304
id_53,53.454473558450445
id_54,14.9824478681056
id_55,38.09597258862864
id_56,32.7058607616715
id_57,22.0679949930086
id_58,57.56818600853531
id_59,21.32557915262167
id_60,14.304514379964901
id_61,40.75299827555793
id_62,12.374245710614982
id_63,49.082953014015814
id_64,16.113976314139876
id_65,14.83280082112023
id_66,14.819303938471398
id_67,-0.0703790191752578
id_68,42.819066950064055
id_69,30.364161881843692
id_70,19.549874339845662
id_71,40.40019123184438
id_72,59.26149767773105
id_73,5.86912731801283
id_74,14.81880009520781
id_75,5.203774551560493
id_76,42.770160647249604
id_77,14.395045021864014
id_78,20.85179370953784
id_79,21.55537247799608
id_80,23.38172075022775
id_81,37.83300621844605
id_82,24.222707287539077
id_83,90.98783242476213
id_84,36.569998012665486
id_85,26.94373836533683
id_86,23.01669727010245
